科目代碼,會計科目,日期,傳票號碼,種類,摘要,本幣借方金額,本幣貸方金額,借貸,餘額,幣別,匯率,原幣借方金額,原幣貸方金額
2120,應付票據 ,2024/01/15,11201150002,3,億德旺 ,47000000.0,0,貸,967639.0,USD,31.27,1503038.06,0.0
2120,應付票據 ,2024/01/15,11201150002,3,又新實業 ,52920000.0,0,貸,438439.0,USD,31.27,1692356.89,0.0
2120,應付票據 ,2024/01/15,11201150002,3,磁技 ,94000000.0,0,借,501561.0,USD,31.27,3006076.11,0.0
2120,應付票據 ,2024/01/15,11201150004,3,3/31FA6528669(先鋒戰隊) ,0.0,"472,500",借,496836.0,USD,31.27,0.0,15110.33
5300,物料進料 ,2024/04/25,11204250003,3,鐵板.鍍鋅板等 ,24963200.0,0,借,1286721.0,JPY,0.2114,19763.35,0.0
6040,旅費 ,2024/01/15,11201150003,3,員工油資補貼 ,2570000.0,0,借,25700.0,USD,31.27,82187.4,0.0
6100,保險費 ,2024/01/15,11201150003,3,11月份健保費 ,2149500.0,0,借,21495.0,USD,31.27,68740.01,0.0
6100,保險費 ,2024/01/15,11201150003,3,11月份勞保費 ,3822300.0,0,借,59718.0,USD,31.27,122235.37,0.0
6100,保險費 ,2024/01/15,11201150003,3,11月份勞退金 ,2536400.0,0,借,85082.0,USD,31.27,81112.89,0.0
6230,其他費用 ,2024/01/15,11201150002,3,會計師記帳費 ,500000.0,0,借,5000.0,USD,31.27,15989.77,0.0
6230,其他費用 ,2024/01/15,11201150003,3,桃科園區管理費(1月份) ,1513200.0,0,借,20132.0,USD,31.27,48391.43,0.0
6230,其他費用 ,2024/01/15,11201150004,3,垃圾清運費(1月份) ,450000.0,0,借,24632.0,USD,31.27,14390.79,0.0
